Conference,Presentation Title,Month,Year,Location,Name,Co-presenter,Presentation Link,Reason,,
AHEC Primary Care Conference,Need Based Modeling Framework,October,2019,Salt Lake City,"Ruttinger, Clark E.",,https://docs.google.com/presentation/d/1trXHIXR4Oe1lWxXX_ruFawxpEpRTkt6miy-EdsLUUGY/edit?usp=sharing,Invited Lecture,,"Invited Lecture, Ruttinger, Clark E., (2019), Need Based Modeling Framework, Salt Lake City"
UAFP Planning meeting,UMEC Overview,July,2019,Salt Lake City,"Ruttinger, Clark E.","Mills, Holli",https://drive.google.com/file/d/1WJMosCkAY7B0tQop2vp4Ruj0RpYUfcbc/view?usp=sharing,Invited Lecture,,"Invited Lecture, Ruttinger, Clark E., Mills, Holli(2019), UMEC Overview, Salt Lake City"
Society of Teachers of Family Medicine Conference on Practice Improvement,A New Approach to Modeling Population Need for Primary Care Services,December ,2019,"Phoenix, Arizona","Ruttinger, Clark E.",,https://drive.google.com/file/d/1bVbzwGDlPXM-3k3y6D5Y__i50FyGBNIu/view?usp=sharing,Conference Presentation,,"Conference Presentation, Ruttinger, Clark E., (2019), A New Approach to Modeling Population Need for Primary Care Services, Phoenix, Arizona"
Utah Legislature- Health and Human Services Comittee,"State Retention of Medical Residents, Rural Rotations of Students, Residents and Fellows",August,2018,Salt Lake City Utah,"Ruttinger, Clark E.",,https://drive.google.com/file/d/1zpiTRxSdQq7xZ78Z3jB24kJyYbMulVvM/view?usp=sharing,Speaker at Legislative Briefing,,"Speaker at Legislative Briefing, Ruttinger, Clark E., (2018), State Retention of Medical Residents, Rural Rotations of Students, Residents and Fellows, Salt Lake City Utah"
National Forum for State Nursing Worrkforce Centers Annual Conference,Poster Presentation Tieing Nursing Data to Funding,June,2018,"Chicago, Illinois","Garret, Theresa","Ruttinger, Clark E.",https://drive.google.com/file/d/1kblxbRd70B5dwSjVfKlQY0ICCayRATbm/view?usp=sharing,Conference Presentation,,#REF!
National AHEC Conference,Assessing Primary Care Workforce Need,May,2018,Washignton D.C.,"Magill, M.K.","Ruttinger, Clark E.",https://drive.google.com/file/d/18JULUrqS_RdDkDOdUPrNNi25azEsbW7a/view?usp=sharing,Conference Presentation,,"Conference Presentation, Magill, M.K., Ruttinger, Clark E.(2018), Assessing Primary Care Workforce Need, Washignton D.C."
Academy Health- Health Data Orientation,Poster Presentation- Modeling Primary Care Workforce Needs,June,2018,Washignton D.C.,"Ruttinger, Clark E.",,https://drive.google.com/file/d/1inkp-4LOAF90gEiyCugdqUy2V-CHqrKo/view?usp=sharing,Conference Presentation,,"Conference Presentation, Ruttinger, Clark E., (2018), Poster Presentation- Modeling Primary Care Workforce Needs, Washignton D.C."
UONL Fall Conference ,Nursing Demand Studies ,November,2018,"Salt Lake City, Utah","Ruttinger, Clark E.",,,Invited Lecture,,"Invited Lecture, Ruttinger, Clark E., (2018), Nursing Demand Studies , Salt Lake City, Utah"
Utah Legislature- Health and Human Services Comittee,Utah Physician Supply and Retention,February,2016,"Salt Lake City, Utah","Ruttinger, Clark E.",,,Speaker at Legislative Briefing,,"Speaker at Legislative Briefing, Ruttinger, Clark E., (2016), Utah Physician Supply and Retention, Salt Lake City, Utah"
National Forum for State Nursing Worrkforce Centers Annual Conference,Comparison of Nursing Demand Studies Across States,June,2016,"Denver, Colorado","Ruttinger, Clark E.",,,Conference Presentation,,"Conference Presentation, Ruttinger, Clark E., (2016), Comparison of Nursing Demand Studies Across States, Denver, Colorado"
Utah Organization of Nurse Leaders- Academic Leadership Conference,Overview of Utah Nurse Education Programs,July,2015,"St George, Utah","Ruttinger, Clark E.",,https://drive.google.com/file/d/1RgOLqSLqkXEmJZaOGPvwPT9_H9Zx6NgQ/view?usp=sharing,Invited Lecture,,"Invited Lecture, Ruttinger, Clark E., (2015), Overview of Utah Nurse Education Programs, St George, Utah"
Utah Public Health Conference,UMEC as a Public Health Surveilence System,May,2014,"Ogden, Utah","Ruttinger, Clark E.","Allen, Samuel",https://drive.google.com/file/d/1pE7hb-OVi0rHB33AgQ_kO1xL0qul4j4e/view?usp=sharing,Conference Presentation,,"Conference Presentation, Ruttinger, Clark E., Allen, Samuel(2014), UMEC as a Public Health Surveilence System, Ogden, Utah"
